Title,SupplementalTasks,CoreTasks,Technology,Description
Gem and Diamond Workers,"['Examine diamonds or gems to ascertain the shape, cut, and width of cut stones, or to select the cuts that will result in the biggest, best quality stones.', 'Immerse stones in prescribed chemical solutions to determine specific gravities and key properties of gemstones or substitutes.', 'Hold stones, gems, dies, or styluses against rotating plates, wheels, saws, or slitters to cut, shape, slit, grind, or polish them.', 'Sort rough diamonds into categories based on shape, size, color, and quality.', 'Secure gems or diamonds in holders, chucks, dops, lapidary sticks, or blocks for cutting, polishing, grinding, drilling, or shaping.', 'Locate and mark drilling or cutting positions on stones or dies, using diamond chips and power hand tools.', 'Place stones in clamps on polishing machines and polish facets of stones, using felt-covered or canvas-covered polishing wheels and polishing compounds such as tripoli and rouge.', 'Lap girdles on rough diamonds, using diamond girdling lathes.', ""Measure sizes of stones' bore holes and cuts to ensure adherence to specifications, using precision measuring instruments."", 'Select shaping wheels for tasks, and mix and apply abrasives, bort, or polishing compounds.', ""Split gems along pre-marked lines to remove imperfections, using blades and jewelers' hammers."", 'Regulate the speed of revolutions and reciprocating actions of drilling mechanisms.', 'Replace, true, and sharpen blades, drills, and plates.', 'Secure stones in metal mountings, using solder.', 'Dismantle lapping, boring, cutting, polishing, and shaping equipment and machinery to clean and lubricate it.', 'Regrind drill points, and advance drill cutting points according to specifications for channel depths and shapes.']","['Examine gems during processing to ensure accuracy of angles and positions of cuts or bores, using magnifying glasses, loupes, or shadowgraphs.', 'Assign polish, symmetry, and clarity grades to stones, according to established grading systems.', 'Estimate wholesale and retail value of gems, following pricing guides, market fluctuations, and other relevant economic factors.', 'Examine gem surfaces and internal structures, using polariscopes, refractometers, microscopes, and other optical instruments, to differentiate between stones, to identify rare specimens, or to detect flaws, defects, or peculiarities affecting gem values.', ""Identify and document stones' clarity characteristics, using plot diagrams."", 'Advise customers and others on the best use of gems to create attractive jewelry items.']","['GemCad', 'Jewelry design software']","Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools."
Precious Metal Workers,"['Anneal precious metal objects such as coffeepots, tea sets, and trays in gas ovens for prescribed times to soften metal for reworking.', 'Rotate molds to distribute alloys and to prevent formation of air pockets.', ""Weigh and mix alloy ingredients, using formulas and knowledge of ingredients' chemical properties."", 'Carry castings or finished items to storage areas or to different work stations.', 'Heat ingots or alloy mixtures to specified temperatures, stir mixtures, skim off impurities, and fill molds to form ingots from which parts are cast.', 'Design and fabricate models of new casting molds, and chipping and turning tools used to finish product surfaces.', 'Rout out locations where parts are to be joined to items, using routing machines.', 'Determine placement of auxiliary parts, such as handles and spouts, and mark locations of parts.', 'Form concavities in bottoms of articles to improve stability, using tracing punches and hammers.', 'Weigh completed items to determine weights and record any deviations.', 'Design silver articles, such as jewelry and serving pieces.', 'Peen edges of scratches or holes to repair defects, using peening hammers.', 'Secure molded items in chucks of lathes, and activate lathes to finish inner and outer surfaces of items.', 'Research reference materials, analyze production data, and consult with interested parties to develop ideas for new products.', 'Position articles over snarling tools and raise design areas, using foot-powered hammers.', 'Trim gates and sharp points from cast parts, using band saws.', 'Verify that bottom edges of articles are level, using straightedges or by rocking them back and forth on flat surfaces.', 'Engrave decorative lines on items, using engraving tools.', 'Sand interior mold parts to remove glaze residue, apply new glaze to molds, and allow it to dry for mold assembly.', 'Strike articles with small tools, or punch them with hammers, to indent them or restore embossing.', 'Wire parts such as legs, spouts, and handles to article bodies in preparation for soldering.', 'Hammer out dents and bulges, selecting and using hammers and dollies with heads that correspond in curvature to article surfaces.', 'Assemble molds, wrap molds in heat-resistant cloth, and ladle molten alloy into mold openings, repeating casting processes as necessary to produce specified numbers of parts.', 'Strike molds to separate dried castings from molds.', 'Glue plastic separators to handles of coffeepots and teapots.']","['Cut and file pieces of jewelry such as rings, brooches, bracelets, and lockets.', 'Solder parts together or fill holes and cracks with metal solder, using gas torches.', 'Polish articles by hand or by using a polishing wheel.', 'Pierce and cut open designs in ornamentation, using hand drills and scroll saws.', 'Position and align auxiliary parts in jigs and join parts, using solder and blowtorches.', 'Examine articles to determine the nature of defects requiring repair, such as dents, uneven bottoms, scratches, or holes.', 'Shape and straighten damaged or twisted articles by hand or using pliers.']","['Adobe Systems Adobe Illustrator', 'Adobe Systems Adobe Photoshop', 'Metal designing software', 'Microsoft Excel', 'Microsoft Outlook']","Cast, anneal, solder, hammer, or shape gold, silver, pewter or other metals to form jewelry or other metal items such as goblets or candlesticks."
Dental Laboratory Technicians,"['Apply porcelain paste or wax over prosthesis frameworks or setups, using brushes and spatulas.', 'Prepare metal surfaces for bonding with porcelain to create artificial teeth, using small hand tools.', 'Load newly constructed teeth into porcelain furnaces to bake the porcelain onto the metal framework.', ""Build and shape wax teeth, using small hand instruments and information from observations or dentists' specifications."", 'Mold wax over denture setups to form the full contours of artificial gums.', 'Rebuild or replace linings, wire sections, or missing teeth to repair dentures.', 'Prepare wax bite blocks and impression trays for use.', 'Train or supervise other dental technicians or dental laboratory bench workers.', 'Shape and solder wire and metal frames or bands for dental products, using soldering irons and hand tools.', 'Fill chipped or low spots in surfaces of devices, using acrylic resins.']","['Read prescriptions or specifications and examine models or impressions to determine the design of dental products to be constructed.', 'Test appliances for conformance to specifications and accuracy of occlusion, using articulators and micrometers.', 'Melt metals or mix plaster, porcelain, or acrylic pastes and pour materials into molds or over frameworks to form dental prostheses or apparatus.', ""Create a model of patient's mouth by pouring plaster into a dental impression and allowing plaster to set."", ""Place tooth models on apparatus that mimics bite and movement of patient's jaw to evaluate functionality of model."", 'Fabricate, alter, or repair dental devices, such as dentures, crowns, bridges, inlays, or appliances for straightening teeth.', 'Remove excess metal or porcelain and polish surfaces of prostheses or frameworks, using polishing machines.']","['CAD/CAM', 'Dental product design software', 'Dental product manufacturing software', 'Intuit QuickBooks', 'Microsoft Excel', 'Microsoft PowerPoint']",Construct and repair full or partial dentures or dental appliances.
Medical Appliance Technicians,"[""Mix pigments to match patients' skin coloring, according to formulas, and apply mixtures to orthotic or prosthetic devices.""]","['Drill and tap holes for rivets and glue, weld, bolt, or rivet parts together to form prosthetic or orthotic devices.', 'Read prescriptions or specifications to determine the type of product or device to be fabricated and the materials and tools that will be required.', 'Make orthotic or prosthetic devices, using materials such as thermoplastic and thermosetting materials, metal alloys and leather, and hand or power tools.', 'Bend, form, and shape fabric or material to conform to prescribed contours of structural components.', ""Construct or receive casts or impressions of patients' torsos or limbs for use as cutting and fabrication patterns."", 'Repair, modify, or maintain medical supportive devices, such as artificial limbs, braces, or surgical supports, according to specifications.', 'Cover or pad metal or plastic structures or devices, using coverings such as rubber, leather, felt, plastic, or fiberglass.', 'Test medical supportive devices for proper alignment, movement, or biomechanical stability, using meters and alignment fixtures.', 'Lay out and mark dimensions of parts, using templates and precision measuring instruments.', 'Fit appliances onto patients and make any necessary adjustments.', 'Polish artificial limbs, braces, or supports, using grinding and buffing wheels.', ""Take patients' body or limb measurements for use in device construction."", 'Instruct patients in use of prosthetic or orthotic devices.', 'Service or repair machinery used in the fabrication of appliances.']","['Autodesk AutoCAD', 'Microsoft Excel', 'Ohio Willow Wood OMEGA Tracer System', 'Orthotic fabrication software', 'Seattle Systems Shapemaker', 'SoftSource CADview', 'Vorum Research Corporation CANFIT-PLUS']","Construct, fit, maintain, or repair medical supportive devices, such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances."
Ophthalmic Laboratory Technicians,"['Immerse eyeglass frames in solutions to harden, soften, or dye frames.', 'Lay out lenses and trace lens outlines on glass, using templates.', 'Control equipment that coats lenses to alter their reflective qualities.', 'Remove lenses from molds and separate lenses in containers for further processing or storage.']","['Mount and secure lens blanks or optical lenses in holding tools or chucks of cutting, polishing, grinding, or coating machines.', 'Inspect lens blanks to detect flaws, verify smoothness of surface, and ensure thickness of coating on lenses.', 'Set up machines to polish, bevel, edge, or grind lenses, flats, blanks, or other precision optical elements.', 'Inspect, weigh, and measure mounted or unmounted lenses after completion to verify alignment and conformance to specifications, using precision instruments.', 'Shape lenses appropriately so that they can be inserted into frames.', 'Clean finished lenses and eyeglasses, using cloths and solvents.', 'Mount, secure, and align finished lenses in frames or optical assemblies, using precision hand tools.', 'Examine prescriptions, work orders, or broken or used eyeglasses to determine specifications for lenses, contact lenses, or other optical elements.', 'Adjust lenses and frames to correct alignment.', 'Select lens blanks, molds, tools, and polishing or grinding wheels, according to production specifications.', 'Position and adjust cutting tools to specified curvature, dimensions, and depth of cut.', 'Assemble eyeglass frames and attach shields, nose pads, and temple pieces, using pliers, screwdrivers, and drills.', 'Set dials and start machines to polish lenses or hold lenses against rotating wheels to polish them manually.', 'Repair broken parts, using precision hand tools and soldering irons.']","['Eyeglass design software', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters."
Packaging and Filling Machine Operators and Tenders,[],"['Attach identification labels to finished packaged items, or cut stencils and stencil information on containers, such as lot numbers or shipping destinations.', 'Sort, grade, weigh, and inspect products, verifying and adjusting product weight or measurement to meet specifications.', 'Stop or reset machines when malfunctions occur, clear machine jams, and report malfunctions to a supervisor.', 'Observe machine operations to ensure quality and conformity of filled or packaged products to standards.', 'Remove finished packaged items from machine and separate rejected items.', ""Monitor the production line, watching for problems such as pile-ups, jams, or glue that isn't sticking properly."", 'Inspect and remove defective products and packaging material.', 'Start machine by engaging controls.', 'Tend or operate machine that packages product.', 'Clean, oil, and make minor adjustments or repairs to machinery and equipment, such as opening valves or setting guides.', 'Regulate machine flow, speed, or temperature.', 'Adjust machine components and machine tension and pressure according to size or processing angle of product.', 'Supply materials to spindles, conveyors, hoppers, or other feeding devices and unload packaged product.', 'Stack finished packaged items, or wrap protective material around each item, and pack the items in cartons or containers.', 'Package the product in the form in which it will be sent out, for example, filling bags with flour from a chute or spout.', 'Stock and sort product for packaging or filling machine operation, and replenish packaging supplies, such as wrapping paper, plastic sheet, boxes, cartons, glue, ink, or labels.', 'Count and record finished and rejected packaged items.', 'Clean packaging containers, line and pad crates, or assemble cartons to prepare for product packing.', 'Secure finished packaged items by hand tying, sewing, gluing, stapling, or attaching fastener.', 'Clean and remove damaged or otherwise inferior materials to prepare raw products for processing.']","['Data entry software', 'Microsoft Excel', 'SAP']",Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","['Thread or feed items or products through or around machine rollers and dryers.', 'Weigh or measure chemicals, coatings, or paints before adding them to machines.', 'Set up and operate machines to paint or coat products with such materials as silver and copper solution, rubber, paint, glaze, oil, or rustproofing materials.', 'Operate auxiliary machines or equipment used in coating or painting processes.', 'Remove materials, parts, or workpieces from painting or coating machines, using hand tools.', 'Record operational data on specified forms.', 'Prepare and apply stencils, computer-generated decals, or other decorative items to finished products.', 'Transfer completed items or products from machines to drying or storage areas, using handcarts, handtrucks, or cranes.', 'Spray coated products with salt solutions to determine how they will resist corrosion.', 'Start pumps to mix solutions and fill tanks.', 'Place items or products on feedracks, spindles, or reel strands to coat, paint, or spray them, using hands, hoists, or truck lifts.', 'Attach and align machine parts such as rollers, guides, brushes, and blades, using hand tools.', 'Paint small items and perform touch-up painting, using paint brushes.']","['Select appropriate coatings, paints, or sprays, or prepare them by mixing substances according to formulas, using automated paint mixing equipment.', 'Hold or position spray guns to direct spray onto articles.', 'Fill hoppers, reservoirs, troughs, or pans with material used to coat, paint, or spray, using conveyors or pails.', 'Start and stop operation of machines, using levers or buttons.', 'Determine paint flow, viscosity, and coating quality by performing visual inspections, or by using viscometers.', 'Attach hoses or nozzles to machines, using wrenches and pliers, and make adjustments to obtain the proper dispersion of spray.', 'Turn dials, handwheels, valves, or switches to regulate conveyor speeds, machine temperature, air pressure and circulation, and the flow or spray of coatings or paints.', 'Observe machine gauges and equipment operation to detect defects or deviations from standards, and make adjustments as necessary.', 'Perform test runs to ensure that equipment is set up properly.', 'Clean machines, related equipment, and work areas, using water, solvents and other cleaning aids.', 'Examine, measure, weigh, or test sample products to ensure conformance to specifications.']","['Data entry software', 'Microsoft Excel']","Set up, operate, or tend machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials."
"Painters, Transportation Equipment","['Apply designs, lettering, or other identifying or decorative items to finished products, using paint brushes or paint sprayers.', 'Lay out logos, symbols, or designs on painted surfaces, according to blueprint specifications, using measuring instruments, stencils, or patterns.', 'Verify paint consistency, using a viscosity meter.']","[""Mix paints to match color specifications or vehicles' original colors, stirring or thinning paints, using spatulas or power mixing equipment."", 'Select paint according to company requirements and match paint colors, following specified color charts.', 'Dispose of hazardous waste in an appropriate manner.', 'Remove grease, dirt, paint, or rust from vehicle surfaces in preparation for paint application, using abrasives, solvents, brushes, blowtorches, washing tanks, or sandblasters.', 'Spray prepared surfaces with specified amounts of primers and decorative or finish coatings.', 'Pour paint into spray guns and adjust nozzles and paint mixes for proper paint flow and coating thickness.', 'Monitor painting operations to identify flaws, such as blisters or streaks, and correct their causes.', 'Remove accessories, such as chrome or mirrors, from vehicles and mask other surfaces with tape or paper to protect them from paint.', 'Disassemble, clean, and reassemble sprayers or power equipment, using solvents, wire brushes, and cloths.', 'Select the correct spray gun system for the material being applied.', 'Fill small dents or scratches with body fillers and smooth surfaces to prepare vehicles for painting.', 'Apply rust-resistant undercoats and caulk and seal seams.', 'Sand and apply sealer to properly dried vehicle finish.', 'Sand vehicle surfaces between coats of paint or primer to remove flaws and enhance adhesion for subsequent coats.', 'Buff and wax the finished paintwork.', 'Clean equipment and work areas.', 'Apply primer over any repairs made to vehicle surfaces.', 'Adjust controls on infrared ovens, heat lamps, portable ventilators, or exhaust units to speed the drying of vehicles between coats.', 'Allow the sprayed product to dry and touch up any missed spots.', 'Operate lifting or moving devices to move equipment or materials to access areas to be painted.', 'Set up portable equipment, such as ventilators, exhaust units, ladders, or scaffolding.', 'Use brush to hand-paint areas in need of retouching or unreachable with a spray gun.']","['Data entry software', 'Microsoft Excel', 'Microsoft Outlook']","Operate or tend painting machines to paint surfaces of transportation equipment, such as automobiles, buses, trucks, trains, boats, and airplanes. Includes painters in auto body repair facilities."
"Painting, Coating, and Decorating Workers","['Place coated workpieces in ovens or dryers for specified times to dry or harden finishes.', 'Select and mix ingredients to prepare coating substances according to specifications, using paddles or mechanical mixers.', 'Melt or heat coating materials to specified temperatures.', 'Conceal blemishes in workpieces, such as nicks and dents, using fillers such as putty.', 'Immerse workpieces into coating materials for specified times.', 'Cut out sections in surfaces of materials to be inlaid with decorative pieces, using patterns and knives or scissors.', 'Position and glue decorative pieces in cutout sections of workpieces, following patterns.']","['Apply coatings, such as paint, ink, or lacquer, to protect or decorate workpiece surfaces, using spray guns, pens, or brushes.', 'Examine finished surfaces of workpieces to verify conformance to specifications and retouch any defective areas.', 'Clean and maintain tools and equipment, using solvents, brushes, and rags.', 'Read job orders and inspect workpieces to determine work procedures and materials required.', 'Clean surfaces of workpieces in preparation for coating, using cleaning fluids, solvents, brushes, scrapers, steam, sandpaper, or cloth.', 'Rinse, drain, or wipe coated workpieces to remove excess coating material or to facilitate setting of finish coats on workpieces.']","['Adobe Systems Adobe Illustrator', 'Adobe Systems Adobe Photoshop', 'Data entry software']","Paint, coat, or decorate articles such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather."
Semiconductor Processors,"['Set, adjust, and readjust computerized or mechanical equipment controls to regulate power level, temperature, vacuum, and rotation speed of furnace, according to crystal growing specifications.', 'Etch, lap, polish, or grind wafers or ingots to form circuitry and change conductive properties, using etching, lapping, polishing, or grinding equipment.', 'Load semiconductor material into furnace.', 'Monitor operation and adjust controls of processing machines and equipment to produce compositions with specific electronic properties, using computer terminals.', 'Count, sort, and weigh processed items.', 'Calculate etching time based on thickness of material to be removed from wafers or crystals.', 'Inspect equipment for leaks, diagnose malfunctions, and request repairs.', 'Align photo mask pattern on photoresist layer, expose pattern to ultraviolet light, and develop pattern, using specialized equipment.', 'Stamp, etch, or scribe identifying information on finished component according to specifications.', 'Operate saw to cut remelt into sections of specified size or to cut ingots into wafers.', 'Scribe or separate wafers into dice.', 'Connect reactor to computer, using hand tools and power tools.', 'Mount crystal ingots or wafers on blocks or plastic laminate, using special mounting devices, to facilitate their positioning in the holding fixtures of sawing, drilling, grinding or sanding equipment.', 'Attach ampoule to diffusion pump to remove air from ampoule, and seal ampoule, using blowtorch.', 'Measure and weigh amounts of crystal growing materials, mix and grind materials, load materials into container, and monitor processing procedures to help identify crystal growing problems.', 'Locate crystal axis of ingot, and draw orientation lines on ingot, using x-ray equipment, drill, and sanding machine.']","['Manipulate valves, switches, and buttons, or key commands into control panels to start semiconductor processing cycles.', 'Maintain processing, production, and inspection information and reports.', 'Inspect materials, components, or products for surface defects and measure circuitry, using electronic test equipment, precision measuring instruments, microscope, and standard procedures.', 'Clean semiconductor wafers using cleaning equipment, such as chemical baths, automatic wafer cleaners, or blow-off wands.', 'Study work orders, instructions, formulas, and processing charts to determine specifications and sequence of operations.', 'Load and unload equipment chambers and transport finished product to storage or to area for further processing.', 'Clean and maintain equipment, including replacing etching and rinsing solutions and cleaning bath containers and work area.', 'Place semiconductor wafers in processing containers or equipment holders, using vacuum wand or tweezers.']",['Microsoft Excel'],"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."
Photographic Process Workers and Processing Machine Operators,"['Operate machines to prepare circuit boards and to expose, develop, etch, fix, wash, dry, or print film or plates.', 'Immerse film, negatives, paper, or prints in developing solutions, fixing solutions, and water to complete photographic development processes.', 'Examine quality of film fades or dissolves for potential color corrections, using color analyzers.', 'Thread filmstrips through densitometers or sensitometers and expose film to light to determine density of film, necessary color corrections, or light sensitivity.', 'Shade negatives or photographs with pencils to smooth facial contours, soften highlights, or conceal blemishes, stray hairs, or wrinkles.', 'Examine drawings, negatives, or photographic prints to determine coloring, shading, accenting, or other changes required for retouching or restoration.', 'Place sensitized paper in frames of projection printers, photostats, or other reproduction machines.', 'Upload digital images onto Web sites for customers.', 'Dry prints or negatives using sponges, squeegees, mechanical air dryers, or drying cabinets.', 'Produce timed prints with separate densities or color settings for each scene of a production.', 'Set automatic timers, lens openings, and printer carriages to specified focus and exposure times and start exposure to duplicate originals, photographs, or negatives.', 'Splice broken or separated film and mount film on reels.', ""Apply paint, using airbrushes, pens, artists' brushes, cotton swabs, or gloved fingers to retouch or enhance negatives or photographs."", 'Retouch photographic negatives or original prints to correct defects.']","['Select digital images for printing, specify number of images to be printed, and direct to printer, using computer software.', 'Create prints according to customer specifications and laboratory protocols.', 'Produce color or black-and-white photographs, negatives, or slides, applying standard photographic reproduction techniques and procedures.', 'Set or adjust machine controls, according to specifications, type of operation, or material requirements.', 'Review computer-processed digital images for quality.', 'Operate scanners or related computer equipment to digitize negatives, photographic prints, or other images.', 'Fill tanks of processing machines with solutions such as developer, dyes, stop-baths, fixers, bleaches, or washes.', 'Measure and mix chemicals to prepare solutions for processing, according to formulas.', 'Load digital images onto computers directly from cameras or from storage devices, such as flash memory cards or universal serial bus (USB) devices.', 'Operate special equipment to perform tasks such as transferring film to videotape or producing photographic enlargements.', 'Examine developed prints for defects, such as broken lines, spots, or blurs.', 'Read work orders to determine required processes, techniques, materials, or equipment.', 'Load circuit boards, racks or rolls of film, negatives, or printing paper into processing or printing machines.', 'Insert processed negatives and prints into envelopes for delivery to customers.', 'Reprint originals for enlargement or in sections to be pieced together.', 'Clean or maintain photoprocessing or darkroom equipment, using ultrasonic equipment or cleaning and rinsing solutions.', 'Monitor equipment operation to detect malfunctions.', 'Maintain records, such as quantities or types of processing completed, materials used, or customer charges.']","['Adobe Systems Adobe InDesign', 'Adobe Systems Adobe Photoshop', 'Microsoft Access', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Publisher', 'MongoDB', 'MySQL']",Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.
Adhesive Bonding Machine Operators and Tenders,"['Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.', 'Measure and mix ingredients to prepare glue.', 'Depress pedals to lower electrodes that heat and seal edges of material.']","['Align and position materials being joined to ensure accurate application of adhesive or heat sealing.', 'Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.', 'Monitor machine operations to detect malfunctions and report or resolve problems.', 'Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.', 'Fill machines with glue, cement, or adhesives.', 'Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.', 'Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.', 'Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.', 'Remove and stack completed materials or products, and restock materials to be joined.', 'Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.', 'Maintain production records such as quantities, dimensions, and thicknesses of materials processed.', 'Remove jammed materials from machines and readjust components as necessary to resume normal operations.', 'Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.', 'Transport materials, supplies, and finished products between storage and work areas, using forklifts.']","['Enterprise resource planning ERP software', 'Microsoft Excel', 'SAP']","Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials."
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","['Draw samples for laboratory analysis, or test solutions for conformance to specifications, such as acidity or specific gravity.', 'Adjust, clean, and lubricate mechanical parts of machines, using hand tools and grease guns.', 'Load machines with objects to be processed and unload them after cleaning, placing them on conveyors or racks.']","['Add specified amounts of chemicals to equipment at required times to maintain solution levels and concentrations.', 'Observe machine operations, gauges, or thermometers, and adjust controls to maintain specified conditions.', 'Set controls to regulate temperature and length of cycles, and start conveyors, pumps, agitators, and machines.', 'Drain, clean, and refill machines or tanks at designated intervals, using cleaning solutions or water.', 'Operate or tend machines to wash and remove impurities from items such as barrels or kegs, glass products, tin plate surfaces, dried fruit, pulp, animal stock, coal, manufactured articles, plastic, or rubber.', 'Record gauge readings, materials used, processing times, or test results in production logs.', 'Examine and inspect machines to detect malfunctions.', 'Measure, weigh, or mix cleaning solutions, using measuring tanks, calibrated rods or suction tubes.']","['Data entry software', 'Microsoft Excel']","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
Cooling and Freezing Equipment Operators and Tenders,"['Measure or weigh specified amounts of ingredients or materials, and load them into tanks, vats, hoppers, or other equipment.', 'Adjust machine or freezer speed and air intake to obtain desired consistency and amount of product.', 'Weigh packages and adjust freezer air valves or switches on filler heads to obtain specified amounts of product in each container.', 'Inspect and flush lines with solutions or steam, and spray equipment with sterilizing solutions.', 'Load and position wrapping paper, sticks, bags, or cartons into dispensing machines.', 'Sample and test product characteristics such as specific gravity, acidity, and sugar content, using hydrometers, pH meters, or refractometers.', 'Start agitators to blend contents, or start beater, scraper, and expeller blades to mix contents with air and prevent sticking.', 'Position molds on conveyors, and measure and adjust level of fill, using depth gauges.', 'Insert forming fixtures, and start machines that cut frozen products into measured portions or specified shapes.', 'Place or position containers into equipment, and remove containers after completion of cooling or freezing processes.', 'Scrape, dislodge, or break excess frost, ice, or frozen product from equipment to prevent accumulation, using hands and hand tools.', 'Activate mechanical rakes to regulate flow of ice from storage bins to vats.', 'Stir material with spoons or paddles to mix ingredients or allow even cooling and prevent coagulation.']","['Record temperatures, amounts of materials processed, or test results on report forms.', 'Monitor pressure gauges, ammeters, flowmeters, thermometers, or products, and adjust controls to maintain specified conditions, such as feed rate, product consistency, temperature, air pressure, and machine speed.', 'Read dials and gauges on panel control boards to ascertain temperatures, alkalinities, and densities of mixtures, and turn valves to obtain specified mixtures.', 'Start machinery, such as pumps, feeders, or conveyors, and turn valves to heat, admit, or transfer products, refrigerants, or mixes.', 'Correct machinery malfunctions by performing actions such as removing jams, and inform supervisors of malfunctions as necessary.', 'Assemble equipment, and attach pipes, fittings, or valves, using hand tools.']","['Microsoft Excel', 'Microsoft PowerPoint']","Operate or tend equipment, such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals."
Etchers and Engravers,"['Prepare workpieces for etching or engraving by cutting, sanding, cleaning, polishing, or treating them with wax, acid resist, lime, etching powder, or light-sensitive enamel.', 'Engrave and print patterns, designs, etchings, trademarks, or lettering onto flat or curved surfaces of a wide variety of metal, glass, plastic, or paper items, using hand tools or hand-held power tools.', 'Prepare etching chemicals according to formulas, diluting acid with water to obtain solutions of specified concentration.', 'Use computer software to design patterns for engraving.', 'Expose workpieces to acid to develop etch patterns such as designs, lettering, or figures.', 'Adjust depths and sizes of cuts by adjusting heights of worktables, or by adjusting machine-arm gauges.', 'Cut outlines of impressions with gravers, and remove excess material with knives.', 'Measure and compute dimensions of lettering, designs, or patterns to be engraved.', 'Neutralize workpieces to remove acid, wax, or enamel, using water, solvents, brushes, or specialized machines.', 'Examine engraving for quality of cut, burrs, rough spots, and irregular or incomplete engraving.', 'Transfer image to workpiece, using contact printer, pantograph stylus, silkscreen printing device, or stamp pad.', 'Set reduction scales to attain specified sizes of reproduction on workpieces, and set pantograph controls for required heights, depths, and widths of cuts.', 'Observe actions of cutting tools through microscopes and adjust stylus movement to ensure accurate reproduction.', 'Print proofs or examine designs to verify accuracy of engraving, and rework engraving as required.', 'Position and clamp workpieces, plates, or rollers in holding fixtures.', 'Remove wax or tape from etched glassware by using a stylus or knife, or by immersing ware in hot water.', 'Guide stylus over template, causing cutting tool to duplicate design or letters on workpiece.', 'Start machines and lower cutting tools to beginning points on patterns.', 'Determine machine settings, and move bars or levers to reproduce designs on rollers or plates.', 'Remove completed workpieces and place them in trays.', 'Insert cutting tools or bits into machines and secure them with wrenches.', 'Sandblast exposed areas of glass to cut designs in surfaces, using spray guns.', 'Sketch, trace, or scribe layout lines and designs on workpieces, plates, dies, or rollers, using compasses, scribers, gravers, or pencils.', 'Fill etched characters with opaque paste to improve readability.', 'Carve designs and letters onto metal for transfer to other surfaces.', 'Brush or wipe acid over engraving to darken or highlight inscriptions.', 'Select and insert required templates into pattern frames beneath the stylus of a machine cutting tool or router.']","['Inspect etched work for depth of etching, uniformity, and defects, using calibrated microscopes, gauges, fingers, or magnifying lenses.', 'Examine sketches, diagrams, samples, blueprints, or photographs to decide how designs are to be etched, cut, or engraved onto workpieces.', 'Clean and polish engraved areas.']","['Adobe Systems Adobe Illustrator', 'Data entry software', 'Delcam ArtCAM Express', 'Gravograph GravoStyle', 'Western Engravers Supply Vision EXPERT']","Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers."
